Student_ID,Name,Age,Gender,Department,Semester,Attendance,Marks,CGPA,City,DateTime
101,Vikram,19.0,Female,Computer,3,99.0,51.0,7.39,Mumbai,2026-06-27 06:24:38
102,Kamna,19.0,Male,Computer,5,91.0,49.0,6.91,Aurangabad,2026-06-27 06:24:38
103,Priya,22.0,Male,IT,3,,48.0,9.71,Mumbai,2026-06-27 06:24:38
104,Aditya,19.0,Female,Civil,3,99.0,52.0,8.17,Nashik,2026-06-27 06:24:38
105,Sneha,22.0,Male,Mechanical,3,100.0,90.0,6.24,Mumbai,2026-06-27 06:24:38
106,Sahil,19.0,Female,Electronics,5,85.0,74.0,8.23,Kolhapur,2026-06-27 06:24:38
107,Riya,20.0,Male,IT,3,70.0,81.0,7.14,Kolhapur,2026-06-27 06:24:38
108,Vikram,21.0,Female,Electronics,3,72.0,77.0,7.59,Navi Mumbai,2026-06-27 06:24:38
109,Rohit,21.0,Female,Computer,3,100.0,81.0,9.0,Navi Mumbai,2026-06-27 06:24:38
110,Vikram,20.0,Female,Electronics,5,69.0,,6.36,Nagpur,2026-06-27 06:24:38
999,Rahul,19.0,Male,Computer,3,92.0,85.0,8.4,Mumbai,2026-06-27 06:24:38
112,Rahul,21.0,Female,IT,3,96.0,48.0,6.83,Nagpur,2026-06-27 06:24:38
113,Rohit,19.0,Female,Civil,5,70.0,55.0,7.71,Nagpur,2026-06-27 06:24:38
114,Rohit,21.0,Female,Civil,5,89.0,59.0,6.57,Nashik,2026-06-27 06:24:38
115,Rohit,19.0,Male,Computer,5,76.0,61.0,7.07,Nashik,2026-06-27 06:24:38
116,Arjun,22.0,Female,Electronics,5,73.0,89.0,9.26,Mumbai,2026-06-27 06:24:38
117,Ayush,22.0,Female,Civil,5,90.0,51.0,7.83,Aurangabad,2026-06-27 06:24:38
118,Priya,19.0,Male,IT,5,75.0,52.0,7.29,Mumbai,2026-06-27 06:24:38
119,Sneha,18.0,Male,Electronics,3,88.0,84.0,6.1,Thane,2026-06-27 06:24:38
120,Sahil,,Male,Mechanical,5,88.0,75.0,6.47,Kolhapur,2026-06-27 06:24:38
121,Ayush,21.0,Female,Mechanical,3,74.0,51.0,8.85,Nagpur,2026-06-27 06:24:38
122,Bhavesh,19.0,Male,IT,5,74.0,89.0,8.06,Mumbai,2026-06-27 06:24:38
123,Kamna,20.0,Male,Mechanical,5,75.0,67.0,8.93,Navi Mumbai,2026-06-27 06:24:38
124,Pooja,22.0,Male,IT,5,79.0,57.0,7.97,Navi Mumbai,2026-06-27 06:24:38
125,Rahul,18.0,Female,Civil,5,77.0,89.0,8.3,Navi Mumbai,2026-06-27 06:24:38
126,Ayush,20.0,Female,Computer,3,71.0,59.0,7.79,Navi Mumbai,2026-06-27 06:24:38
127,Akash,21.0,Male,Civil,5,70.0,98.0,8.51,Aurangabad,2026-06-27 06:24:38
128,Akash,21.0,Male,Civil,5,70.0,96.0,9.6,Aurangabad,2026-06-27 06:24:38
129,Ayush,21.0,Male,IT,3,73.0,46.0,6.57,Kolhapur,2026-06-27 06:24:38
130,Rohit,22.0,Female,Mechanical,3,100.0,80.0,6.5,,2026-06-27 06:24:38
131,Sneha,22.0,Male,Civil,3,78.0,46.0,6.96,Nagpur,2026-06-27 06:24:38
132,Kamna,19.0,Female,Mechanical,5,73.0,48.0,9.46,Navi Mumbai,2026-06-27 06:24:38
133,Ayush,22.0,Female,Electronics,3,99.0,54.0,7.99,Mumbai,2026-06-27 06:24:38
134,Ayush,19.0,Male,IT,3,74.0,75.0,8.35,Pune,2026-06-27 06:24:38
135,Aditya,18.0,Female,Electronics,5,71.0,80.0,6.22,Thane,2026-06-27 06:24:38
136,Karan,18.0,Male,Electronics,5,100.0,46.0,8.89,Pune,2026-06-27 06:24:38
137,Ayush,20.0,Male,Mechanical,5,97.0,79.0,9.07,Thane,2026-06-27 06:24:38
138,Kamna,20.0,Male,Civil,3,91.0,52.0,7.49,Navi Mumbai,2026-06-27 06:24:38
139,Aman,19.0,Female,Computer,3,84.0,95.0,6.46,Nashik,2026-06-27 06:24:38
140,Riya,19.0,Female,IT,5,79.0,92.0,9.62,Aurangabad,2026-06-27 06:24:38
141,Bhavesh,19.0,Male,IT,5,97.0,70.0,7.29,Thane,2026-06-27 06:24:38
142,Riya,20.0,Male,Mechanical,3,86.0,80.0,7.74,Mumbai,2026-06-27 06:24:38
143,Meena,20.0,Female,Electronics,3,72.0,95.0,6.87,Pune,2026-06-27 06:24:38
144,Aman,20.0,Female,Computer,3,82.0,93.0,6.49,Aurangabad,2026-06-27 06:24:38
145,Karan,21.0,Male,Electronics,5,85.0,50.0,7.06,Nashik,2026-06-27 06:24:38
146,Arjun,18.0,Female,Computer,3,81.0,50.0,8.31,Thane,2026-06-27 06:24:38
147,Aman,20.0,Male,Civil,3,86.0,80.0,7.59,Nagpur,2026-06-27 06:24:38
148,Sahil,19.0,Male,Electronics,3,72.0,55.0,7.0,Nashik,2026-06-27 06:24:38
149,Akash,20.0,Female,Electronics,3,83.0,73.0,7.9,Nashik,2026-06-27 06:24:38
150,Karan,20.0,Male,Mechanical,3,65.0,450.0,8.79,Thane,2026-06-27 06:24:38
151,Kamna,21.0,Male,Civil,3,92.0,87.0,7.88,Aurangabad,2026-06-27 06:24:38
152,Kamna,20.0,Male,IT,5,77.0,98.0,9.35,Nashik,2026-06-27 06:24:38
153,Meena,20.0,Male,IT,3,69.0,85.0,8.82,Nagpur,2026-06-27 06:24:38
154,Arjun,19.0,Male,Computer,5,97.0,87.0,9.69,Thane,2026-06-27 06:24:38
155,Anjali,18.0,Female,IT,3,82.0,73.0,6.01,Navi Mumbai,2026-06-27 06:24:38
156,Vikram,22.0,Female,IT,3,84.0,58.0,7.36,Mumbai,2026-06-27 06:24:38
157,Vikram,21.0,Male,Civil,5,97.0,86.0,6.76,Mumbai,2026-06-27 06:24:38
158,Aman,20.0,Male,IT,5,67.0,70.0,6.09,Nagpur,2026-06-27 06:24:38
159,Pooja,18.0,Male,Electronics,5,85.0,91.0,9.74,Nashik,2026-06-27 06:24:38
160,Anjali,22.0,Male,Computer,5,97.0,53.0,9.46,Mumbai,2026-06-27 06:24:38
161,Nisha,19.0,Male,Computer,3,73.0,85.0,7.37,Pune,2026-06-27 06:24:38
162,Meena,21.0,Male,Computer,3,96.0,61.0,6.01,Pune,2026-06-27 06:24:38
163,Kamna,22.0,Male,Electronics,3,95.0,61.0,9.08,Nagpur,2026-06-27 06:24:38
164,Pooja,19.0,Male,Civil,5,89.0,49.0,7.82,Nagpur,2026-06-27 06:24:38
165,Priya,22.0,Male,Computer,3,86.0,61.0,8.48,Nagpur,2026-06-27 06:24:38
166,Sahil,22.0,Male,Computer,5,68.0,76.0,7.02,Pune,2026-06-27 06:24:38
